,,LU0589470672,LU0376447578,LU0376446257,LU0471299072,LU1893597564,DK0060189041,DK0010264456,DK0060051282,LU0332084994,DK0016023229,DK0061553245,DK0016261910,DK0016262728,DK0016262058,DK0010106111,DK0060240687,DK0060005254,DK0010301324,DK0060300929,DK0060158160,LU1028171921,LU0230817339,DK0060815090,DK0061067220,DK0060498509,DK0060498269,DK0061134194,DK0016300403,DK0061150984,IE00B02KXK85,DE000A0Q4R36,IE00B27YCF74,IE00B1XNHC34,DE000A0H08H3,DE000A0Q4R28,IE00B0M63516,IE00B0M63623,IE00B5WHFQ43,DE000A0H08S0,IE00B42Z5J44,DE000A0H08Q4,IE00B5377D42,IE00B0M63391,IE00B2QWCY14,DK0061544178,DK0061544418
,,BGF World Energy A2 CHF Hedged,BGF Swiss Small & MidCap Opps I2,BGF Swiss Small & MidCap Opps A2,BGF Nutrition A4 EUR Hedged,BSF European Unconstrained Eq I2 PF EUR,BLS Invest Globale Aktier KL,Danske Invest Bioteknologi Indeks KL,Danske Invest Flexinv Korte Obl KL,Danske Invest Danish Mortgage Bd A SEK h,Danske Invest Teknologi Indeks KL,Wealth Invest HP Engros Korte Danske Obl,Jyske Invest Emerg Market Bonds EUR CL,Jyske Invest High Yield Corp Bond CL,Jyske Invest Stable Strategy EUR,Jyske Invest Korte Obligationer KL,LI Indeksobligationer Globale,Maj Invest Vækstaktier,Nordea Invest Global Stars KL 1,Nordea Invest Portefølje Fleksibel,Nykredit Alpha Mira,T. Rowe Price Eurp Smlr Cm Eq Q(GBP),T. Rowe Price Japanese Eq A,Sydinvest Virksomhedsobl HY W DKK dh,Wealth Invest AKL Afkast+ I,Formuepleje Fokus,Formuepleje Epikur,Lån & Spar Invest - Danske Akt Basis Akk,Sampension Invest GEM II,Wealth Invest HP Invest Korte Danske Obl,iShares China Large Cap ETF USD Dist,iShares STOXX Europe 600 HealthCare (DE),iShares Global Timber&Forestry ETF $ Dis,iShares Global Clean Engy Trns ETF $Dist,iShares STOXX Europe 600 Food&Bev (DE),iShares STOXX Europe 600 Auto&P (DE) dis,iShares MSCI Brazil ETF USD Dist,iShares MSCI Taiwan ETF USD Dist,iShares MSCI Mexico Capped ETF USD Acc,iShares STOXX Europe 600 Trav & Leis(DE),iShares MSCI Japan EUR Hedged ETF Acc,iShares STOXX Europe 600 Tech (DE) dis,iShares MSCI Australia ETF USD Acc,iShares MSCI Korea ETF USD Dist,iShares S&P SmallCap 600 ETF USD Dist,Nordea Invest Global Stars KL 2,Nordea Invest Globale Obligationer KL 2
DK0060158160,Nykredit Alpha Mira,0.002073,0.000781,0.000701,0.000505,0.000714,0.000566,-0.000251,0.000198,0.000510,0.000034,0.000137,0.000559,0.000152,0.000175,0.000110,0.000090,-0.000244,0.000540,0.000720,0.003564,0.001132,0.000927,0.000393,0.001186,0.000909,0.001175,0.000442,0.000075,0.000137,0.000884,0.000587,0.000937,0.000917,0.000505,0.000320,0.000353,0.000094,0.001082,0.000363,0.000811,0.000359,0.000079,0.000654,0.000341,0.000540,-0.000091
LU1028171921,T. Rowe Price Eurp Smlr Cm Eq Q(GBP),0.014979,0.016450,0.014295,0.009455,0.011672,0.014757,0.020600,0.000639,0.002127,0.000105,0.000021,0.002404,0.003083,0.002784,-0.000074,-0.001539,-0.001951,0.014039,0.003389,0.001132,0.022152,0.013288,0.002815,0.009979,0.000609,0.013755,0.016555,-0.000606,0.000021,0.016170,0.013170,0.016837,0.016979,0.010267,0.022312,0.011920,0.012872,0.012503,0.019121,0.016405,0.019878,0.014666,0.012580,0.014578,0.014039,0.001041
LU0230817339,T. Rowe Price Japanese Eq A,0.015207,0.017082,0.012606,0.009269,0.010813,0.016069,0.022561,0.000637,0.003236,-0.000111,0.000138,0.004493,0.003009,0.004229,0.000197,0.000418,0.000313,0.015933,0.005718,0.000927,0.013288,0.026588,0.002708,0.013428,0.001553,0.016776,0.014343,0.000451,0.000138,0.019921,0.015085,0.019073,0.021258,0.013390,0.020093,0.018170,0.016870,0.016773,0.015922,0.025786,0.017558,0.018037,0.015844,0.016879,0.015933,0.003934
DK0060815090,Sydinvest Virksomhedsobl HY W DKK dh,0.003458,0.004816,0.002637,0.002489,0.002209,0.002894,0.003285,0.000240,0.000593,0.000016,0.000062,0.001378,0.001247,0.000954,0.000063,0.000030,-0.000323,0.002815,0.000625,0.000393,0.002815,0.002708,0.001535,0.003101,0.000290,0.002944,0.003331,-0.000128,0.000062,0.003335,0.002340,0.003388,0.003759,0.002280,0.004759,0.004001,0.002877,0.003300,0.003092,0.003500,0.003575,0.003249,0.003084,0.002371,0.002815,0.000066
DK0061067220,Wealth Invest AKL Afkast+ I,0.014835,0.023117,0.009875,0.011112,0.008385,0.013740,0.015840,0.000702,0.003047,0.000002,0.000119,0.006531,0.003301,0.004266,0.000173,0.000638,-0.000363,0.013665,0.004826,0.001186,0.009979,0.013428,0.003101,0.033628,0.001238,0.014535,0.012582,0.000068,0.000119,0.024577,0.010113,0.017244,0.018147,0.010199,0.018799,0.024052,0.016347,0.017214,0.011141,0.014099,0.015055,0.018555,0.019590,0.014402,0.013665,0.001923
DK0060498509,Formuepleje Fokus,0.001359,0.000360,0.000677,0.000042,0.000625,0.000848,0.000918,0.000195,0.000734,0.000034,0.000149,0.000813,0.000346,0.000522,0.000177,0.000609,0.000363,0.000860,0.001356,0.000909,0.000609,0.001553,0.000290,0.001238,0.001686,0.001934,0.000744,0.000537,0.000149,0.001048,0.001188,0.000986,0.001422,0.001141,0.000688,0.000444,0.000727,0.000996,0.000589,0.000720,0.000728,0.001109,0.000843,0.001051,0.000860,0.000780
DK0060498269,Formuepleje Epikur,0.016834,0.016023,0.013288,0.009618,0.011108,0.017111,0.026192,0.000763,0.002945,0.000039,0.000225,0.003902,0.002723,0.003957,0.000158,-0.000443,-0.001002,0.017389,0.005582,0.001175,0.013755,0.016776,0.002944,0.014535,0.001934,0.020705,0.015535,0.000144,0.000225,0.020195,0.015907,0.020121,0.020544,0.013454,0.022477,0.015708,0.016261,0.016118,0.017673,0.018893,0.018541,0.017756,0.015477,0.019568,0.017389,0.003244
DK0061134194,Lån & Spar Invest - Danske Akt Basis Akk,0.015527,0.017952,0.014806,0.010239,0.015329,0.016067,0.023467,0.000577,0.002841,0.000024,0.000057,0.004068,0.003622,0.003606,-0.000057,-0.000648,-0.001045,0.015587,0.004559,0.000442,0.016555,0.014343,0.003331,0.012582,0.000744,0.015535,0.026424,-0.000672,0.000057,0.018333,0.017267,0.017685,0.021145,0.012914,0.024432,0.015260,0.013297,0.015136,0.019904,0.019094,0.020832,0.016485,0.013861,0.014929,0.015587,0.001554
DK0016300403,Sampension Invest GEM II,-0.000856,-0.000819,-0.000351,-0.000864,-0.000298,-0.000421,-0.000261,0.000054,0.000411,0.000010,0.000073,0.000257,-0.000088,0.000226,0.000118,0.000870,0.000621,-0.000306,0.000976,0.000075,-0.000606,0.000451,-0.000128,0.000068,0.000537,0.000144,-0.000672,0.000846,0.000073,-0.000184,0.000064,-0.000259,-0.000116,0.000183,-0.001322,-0.000577,-0.000308,-0.000166,-0.000753,-0.001023,-0.000631,-0.000198,-0.000099,-0.000066,-0.000306,0.000955
DK0061150984,Wealth Invest HP Invest Korte Danske Obl,0.000104,0.000057,0.000097,-0.000013,0.000039,0.000059,0.000026,0.000030,0.000110,0.000010,0.000068,0.000156,0.000067,0.000077,0.000034,0.000087,0.000040,0.000088,0.000118,0.000137,0.000021,0.000138,0.000062,0.000119,0.000149,0.000225,0.000057,0.000073,0.000068,0.000056,0.000115,0.000059,0.000149,0.000053,0.000083,0.000016,0.000047,0.000101,0.000040,0.000097,0.000014,0.000055,0.000130,0.000096,0.000088,0.000066
IE00B02KXK85,iShares China Large Cap ETF USD Dist,0.022594,0.032437,0.014568,0.013148,0.012266,0.020572,0.028335,0.000854,0.003427,-0.000041,0.000056,0.006055,0.003916,0.004818,0.000019,-0.000765,-0.000484,0.020378,0.005503,0.000884,0.016170,0.019921,0.003335,0.024577,0.001048,0.020195,0.018333,-0.000184,0.000056,0.048546,0.015923,0.023528,0.028115,0.014661,0.028765,0.030144,0.025432,0.020829,0.017733,0.023366,0.022966,0.024649,0.027571,0.019784,0.020378,0.002650
DE000A0Q4R36,iShares STOXX Europe 600 HealthCare (DE),0.013753,0.012806,0.013355,0.007797,0.012237,0.014121,0.028831,0.000570,0.002465,0.000010,0.000115,0.002894,0.002177,0.003452,0.000052,0.000003,0.000156,0.015421,0.005652,0.000587,0.013170,0.015085,0.002340,0.010113,0.001188,0.015907,0.017267,0.000064,0.000115,0.015923,0.022137,0.016234,0.018524,0.014912,0.018922,0.013276,0.012127,0.013595,0.017603,0.016951,0.018075,0.015112,0.011874,0.015346,0.015421,0.003089
